arcd,acmdfclty_sn,ctprvn_nm,sgg_nm,acmdfclty_se_cd,acmdfclty_se_nm,vt_acmdfclty_nm,rdnmadr_cd,bdong_cd,hdong_cd,dtl_adres,fclty_ar,vt_acmd_psbl_nmpr,xcord,ycord,mngps_nm,mngps_telno
4427000000,166,충청남도,당진시,007,기타시설,당진시종합복지타운,4427010600110050000000001,4427010600,4427051000,충청남도 당진시 시청1로 38(수청동),14655,5636,126.64382259,36.89174066,당진시장,041-350-3642
4427000000,180,충청남도,당진시,002,마을회관,통정1리 마을회관,4483032021103720015075148,4427032021,4427032000,충청남도 당진시 석문면 보덕포로 1017-3 ,161,49,126.59423526,36.98113237,,
4427000000,210,충청남도,당진시,002,마을회관,시곡2통 마을회관,4427010500102600002000001,4427010500,4427053000,충청남도 당진시 시곡로 248-25 (시곡동),259,78,126.67803084,36.89421507,,
4427000000,190,충청남도,당진시,002,마을회관,수청1통 마을회관,,4427010600,4427051000,충청남도 당진시 수청동   124-1,132,40,126.6563224,36.88054534,,
4427000000,161,충청남도,당진시,007,기타시설,당진종합운동장트레이닝센터,4483031029103490002058211,4427031029,4427031000,충청남도 당진시 고대면 고대로 33,1493,574,126.59611483,36.92292946,당진시장,041-350-3642
4427000000,141,충청남도,당진시,001,학교,고대초등학교 강당,4483031029107700002063109,4427031029,4427031000,충청남도 당진시 고대면 고대로 206,670,257,126.5936197,36.93675739,이재원,041-350-3642
4427000000,13,충청남도,당진시,001,학교,고산초등학교 강당,4483031024110500002069837,4427031024,4427031000,충청남도 당진시 고대면 서집들길 55,400,153,126.57269884,36.95731589,이재원,041-350-3642
4427000000,160,충청남도,당진시,007,기타시설,당진근로자종합복지관,4483025637104080032000001,4427025337,4427025300,충청남도 당진시 송악읍 부곡공단4길 53-13 ,3380,1300,126.77533359,36.96171682,당진시장,041-350-3642
4427000000,140,충청남도,당진시,001,학교,송악고등학교 강당,4483025642103130002055949,4427025342,4427025300,충청남도 당진시 송악읍 송악로 165,836,321,126.70378247,36.91693819,이재원,041-350-3642
4427000000,139,충청남도,당진시,001,학교,상록초등학교,4483025636101870008070346,4427025336,4427025300,충청남도 당진시 송악읍 송악로 1024,693,266,126.76920472,36.95925184,박정협,041-350-3642
4427000000,159,충청남도,당진시,007,기타시설,송악교육문화스포츠센터,4427025321200130000000001,4427025321,4427025300,충청남도 당진시 송악읍 틀모시로 830,6653,2558,126.69115973,36.90711884,당진시장,041-350-3642
4427000000,171,충청남도,당진시,013,"연수,숙박",민간숙박시설,,4427025328,4427025300,충청남도 당진시 송악읍 반촌리 794-19,21,42,126.70266099,36.9020868,,
4427000000,177,충청남도,당진시,002,마을회관,회태리 마을회관,4483025323103200001017670,4427025023,4427025000,충청남도 당진시 합덕읍 남부로 1458,50,15,126.73667509,36.8241751,,
4427000000,169,충청남도,당진시,002,마을회관,성동리 마을회관,4483025325101630009004464,4427025025,4427025000,충청남도 당진시 합덕읍 성동로 98,79,23,126.76476182,36.79240018,,041-350-3643
4427000000,178,충청남도,당진시,002,마을회관,합덕리 마을회관,4483025331102430010080428,4427025031,4427025000,충청남도 당진시 합덕읍 신촌로 6,132,40,126.78755922,36.79396227,,
4427000000,211,충청남도,당진시,014,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",남부문화스포츠센터,4427025021100270001000002,4427025021,4427025000,충청남도 당진시 합덕읍 굴미1길 222,634,243,126.77937573,36.80141512,,
4427000000,207,충청남도,당진시,002,마을회관,구룡2통 마을회관,4427011100105470001000001,4427011100,4427052000,충청남도 당진시 도곡길 17(구룡동),116,35,126.61080813,36.82942729,,
4427000000,179,충청남도,당진시,002,마을회관,교동1리 마을회관,4427025021102910060000001,4427025021,4427025000,충청남도 당진시 합덕읍 합덕교동2길 17,144,44,126.77762781,36.80817855,,
4427000000,206,충청남도,당진시,002,마을회관,구룡1통 마을회관,4483025031104680004019672,4427011100,4427052000,충청남도 당진시 면천로 3(구룡동),181,55,126.60399251,36.83022475,,
4415000000,35,충청남도,공주시,001,학교,신관초등학교,4415012000103180001758540,4415012000,4415057000,충청남도 공주시 번영1로 97-13 (신관동),1941,746,127.13889118,36.47563846,이혜진,041-856-1902
4415000000,45,충청남도,공주시,013,"연수,숙박",마루호텔,4415012000105950015000002,4415012000,4415057000,충청남도 공주시 전막2길 16-1 (신관동),1488,120,127.13025706,36.470819,,041-853-2600
4415000000,37,충청남도,공주시,001,학교,공주정보고등학교,4415035028105660001050701,4415012100,4415059000,충청남도 공주시 마근동길 29(금흥동),2547,979,127.15727003,36.48531954,양영태,041-856-1674
4427000000,184,충청남도,당진시,014,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",정미주민다목적회관,4427034021102480006000001,4427034021,4427034000,충청남도 당진시 정미면 4.4만세로 713-14 ,842,255,126.56836484,36.88731026,,
4427000000,146,충청남도,당진시,001,학교,천의초등학교 강당,4483034021103360000038502,4427034021,4427034000,충청남도 당진시 정미면 천평로 30,644,247,126.5719662,36.87798455,이재원,041-350-3642
4427000000,144,충청남도,당진시,002,마을회관,도이1리 마을회관,4483033024101190001057731,4427033024,4427033000,충청남도 당진시 대호지면 충장로 566-4 ,165,63,126.53096845,36.92135458,이재원,041-350-3642
4427000000,183,충청남도,당진시,002,마을회관,초락2리 마을회관,4483032027104360001092212,4427032027,4427032000,충청남도 당진시 석문면 초락1로 131,199,60,126.50364256,36.99199512,,
4427000000,143,충청남도,당진시,001,학교,조금초등학교 체육관,4483033021103550000050157,4427033021,4427033000,충청남도 당진시 대호지면 4.4만세로 23,1038,399,126.499669,36.901392,이재원,041-350-3642
4427000000,175,충청남도,당진시,013,"연수,숙박",민간숙박시설,4483032026103730052000001,4427032026,4427032000,충청남도 당진시 석문면 난지2길 90-36 ,6,12,126.45328618,37.03898244,,
4427000000,173,충청남도,당진시,013,"연수,숙박",민간숙박시설,4483032026100050026080136,4427032026,4427032000,충청남도 당진시 석문면 난지1길 329,7,14,126.44649394,37.05226081,,
4427000000,162,충청남도,당진시,007,기타시설,석문교육문화스포츠센터,4427032023103080030000002,4427032023,4427032000,충청남도 당진시 석문면 대호만로 1543,3600,1384,126.55347563,37.00298034,당진시장,041-350-3642
4427000000,182,충청남도,당진시,002,마을회관,교로2리 마을회관,4483032025106960000079645,4427032025,4427032000,충청남도 당진시 석문면 새터말길 10,245,74,126.5282283,37.03701491,,
4427000000,174,충청남도,당진시,013,"연수,숙박",민간숙박시설,4483032025107910000079748,4427032025,4427032000,충청남도 당진시 석문면 석문해안로 19-6 ,7,14,126.52854654,37.04155102,,
4415000000,19,충청남도,공주시,001,학교,반포중학교,4415034029102420006015213,4415034029,4415034000,충청남도 공주시 반포면 원당1길 28,1686,648,127.24302396,36.40411323,심경화,041-857-3150
4427000000,158,충청남도,당진시,001,학교,삼봉초등학교 체육관,4483032023112440003078334,4427032023,4427032000,충청남도 당진시 석문면 대호만로 1722-1 ,710,273,126.53941423,37.01341966,이재원,041-350-3642
4427000000,181,충청남도,당진시,002,마을회관,삼봉4리 마을회관,4483032023109220044078308,4427032023,4427032000,충청남도 당진시 석문면 대호만로 1736-7 ,306,93,126.53745595,37.0134539,,
4689000000,80,전라남도,완도군,003,경로당,중리 경로당,4689031023107470002001718,4689031023,4689031000,전라남도 완도군 군외면 군외중리1길 31,104,40,126.65933969,34.39159961,권혁,061-550-6341
4689000000,84,전라남도,완도군,001,학교,군외초등학교,4689031024106660000000251,4689031024,4689031000,전라남도 완도군 군외면 달도길 15-14 ,2107,810,126.63691371,34.39797473,김광일,061-552-5473
4689000000,81,전라남도,완도군,003,경로당,달도 염수리경로당,4689031024109680000000297,4689031024,4689031000,전라남도 완도군 군외면 염수길 64,100,38,126.62516569,34.39971984,권혁,061-550-6341
4689000000,74,전라남도,완도군,003,경로당,토도리 경로당,4689031023201910002014446,4689031023,4689031000,전라남도 완도군 군외면 토도길 16-2 ,68,26,126.68711602,34.4214627,권혁,061-550-6341
4689000000,66,전라남도,완도군,003,경로당,교인리 경로당,4689031023102500003002819,4689031023,4689031000,전라남도 완도군 군외면 청해진북로338번길 3,62,23,126.67491737,34.38517834,황혜숙,061-550-6341
2771000000,424,대구광역시,달성군,004,관공서,구지 보건지소,2771038021104390001026159,2771038021,2771038000,대구광역시 달성군 구지면 창리로11길 38,564,216,128.41347642,35.6589958,김종일,053-668-3418
1129000000,527,서울특별시,성북구,001,학교,숭덕초등학교,1129013300101600001033152,1129013300,1129063000,서울특별시 성북구 정릉로 279(정릉동),8313,3197,127.01339388,37.6039664,김만기,02-914-1764
4690000000,23,전라남도,진도군,001,학교,군내중학교 체육관,4690031024103690000008243,4690031024,4690031000,전라남도 진도군 군내면 금골길 26,879,338,126.2959474,34.5386087,추승완,010-8251-3020
1129000000,525,서울특별시,성북구,001,학교,동신초등학교,1129013200102280000037069,1129013200,1129061000,서울특별시 성북구 보문사길 50(보문동3가),3370,1296,127.01696208,37.58258162,황인탁,02-925-3442
1129000000,528,서울특별시,성북구,001,학교,청덕초등학교,1129013300108470000000001,1129013300,1129064000,서울특별시 성북구 정릉로9라길 11(정릉동),14436,5552,127.00046026,37.61189643,박동길,02-924-3409
1129000000,546,서울특별시,성북구,001,학교,삼선초등학교,1129011300100300004047373,1129011300,1129055500,서울특별시 성북구 보문로29길 106(삼선동3가),4967,1910,127.01258136,37.58576597,정인아,02-742-8792
1129000000,561,서울특별시,성북구,004,관공서,성북구청,1129011500104110000000001,1129011500,1129055500,서울특별시 성북구 보문로 168(삼선동5가),587,226,127.01688087,37.58945632,김하림,02-2241-4304
1129000000,524,서울특별시,성북구,001,학교,안암초등학교,1129012200100930000040252,1129012200,1129060000,서울특별시 성북구 고려대로7가길 39(안암동2가),1021,393,127.02267096,37.58722701,정현주,02-928-4403
1129000000,550,서울특별시,성북구,001,학교,정덕초등학교,1129011000101180001000516,1129011000,1129057500,서울특별시 성북구 아리랑로 63(동소문동7가),11005,4233,127.01361967,37.59738949,송진이,02-926-2367
1129000000,544,서울특별시,성북구,001,학교,경동고등학교,1129011300100430001046600,1129011300,1129055500,서울특별시 성북구 보문로29길 49(삼선동3가),8411,3235,127.01496957,37.58574448,엄현경,02-928-2077
4275000000,362,강원도,영월군,006,교회,영월대교회,4275025022100010007018561,4275025022,4275025000,강원도 영월군 영월읍 중앙1로 35,215,82,128.46550162,37.18445077,주영준,033-373-4009
1129000000,521,서울특별시,성북구,001,학교,돈암초등학교,1129010900100270001044058,1129010900,1129057500,서울특별시 성북구 동소문로13길 38(동소문동6가),10946,4210,127.01285119,37.5933177,양재훈,02-926-2367
4275000000,388,강원도,영월군,002,마을회관,영흥1리마을회관,4275025021110330126017784,4275025021,4275025000,강원도 영월군 영월읍 영모전길 131,66,25,128.47122132,37.18611754,손경철,010-8276-4041
4275000000,327,강원도,영월군,001,학교,영월초등학교,4275025022100230001018656,4275025022,4275025000,강원도 영월군 영월읍 하송안길 100,1644,632,128.46877899,37.18202065,고창원,033-370-3005
4275000000,359,강원도,영월군,001,학교,한국소방마이스터고,4275025021106290003020365,4275025021,4275025000,강원도 영월군 영월읍 영모전길 108,1051,404,128.47223725,37.18926602,이대은,033-370-2535
4275000000,338,강원도,영월군,001,학교,내성초등학교,4275025021107890001016386,4275025021,4275025000,강원도 영월군 영월읍 내성안길 9,905,348,128.47462101,37.19001172,사공진,033-373-0662
4275000000,358,강원도,영월군,001,학교,영월중·고교,4275025021107160001013319,4275025021,4275025000,강원도 영월군 영월읍 오무개길 51,1367,525,128.47189631,37.19110958,이근우,033-370-5005
4273000000,72,강원도,횡성군,001,학교,강림초등학교,4273038021115620000038548,4273038021,4273038000,강원도 횡성군 강림면 태종로강림4길 11,292,88,128.12010369,37.35823529,이소라,033-342-7071
4273000000,82,강원도,횡성군,001,학교,강림중학교,4273038021108720000039654,4273038021,4273038000,강원도 횡성군 강림면 주천강로 1145,496,150,128.12670458,37.36416186,문태인,033-342-7042
4273000000,58,강원도,횡성군,001,학교,유현초등학교 ,4273037025103620001000001,4273037025,4273037000,강원도 횡성군 서원면 경강로 711,57,17,127.87514389,37.52657656,임애숙,033-342-0349
1129000000,542,서울특별시,성북구,001,학교,석관고등학교,1129013900100770001004024,1129013900,1129081000,서울특별시 성북구 한천로70길 30(석관동),1557,599,127.06656966,37.60922836,최현선,02-958-1000
1129000000,560,서울특별시,성북구,001,학교,석관중학교,1129013900100880002004544,1129013900,1129081000,서울특별시 성북구 한천로 526(석관동),2176,837,127.0668317,37.60819593,이수영,02-962-2275
1129000000,540,서울특별시,성북구,001,학교,석계초등학교,1129013900100270003000001,1129013900,1129081000,서울특별시 성북구 한천로58길 273(석관동),10236,3937,127.06976526,37.608609,김순강,02-964-9579
1129000000,557,서울특별시,성북구,001,학교,장위중학교,1129013600200020132000097,1129013800,1129076000,서울특별시 성북구 장위로4길 70(장위동),1983,763,127.04158798,37.6113885,박상선,02-941-1675
1129000000,536,서울특별시,성북구,004,관공서,장위1동주민센터,1129013800102250100000001,1129013800,1129076000,서울특별시 성북구 장위로 61(장위동),200,77,127.04366287,37.61408291,장위1동주민센터장,02-2241-3227
1129000000,537,서울특별시,성북구,001,학교,장위초등학교,1129013800100680008010469,1129013800,1129077000,서울특별시 성북구 장월로8가길 41(장위동),19666,7564,127.04982742,37.61210321,김상홍,02-915-4325
1129000000,539,서울특별시,성북구,001,학교,광운초등학교,1129013800101280000006630,1129013800,1129078000,서울특별시 성북구 한천로 694(장위동),4551,1750,127.0552728,37.61890892,박상옥,02-915-7313
1129000000,558,서울특별시,성북구,001,학교,월곡초등학교,1129013800102460194011182,1129013800,1129077000,서울특별시 성북구 장월로3길 42(장위동),1419,546,127.04639392,37.60964029,김광옥,02-915-2787
1129000000,556,서울특별시,성북구,001,학교,서울도시과학기술고등학교,1129013600100902058017856,1129013600,1129071500,서울특별시 성북구 종암로 196(하월곡동),8344,3209,127.03189005,37.60732775,조은중,02-940-2680
1129000000,534,서울특별시,성북구,006,교회,영광교회,1129013600102220007000001,1129013600,1129071500,서울특별시 성북구 오패산로10길 27(하월곡동),330,127,127.03831268,37.6056354,영광교회,02-916-5004
1129000000,535,서울특별시,성북구,006,교회,월곡감리교회,1129013600100290075016645,1129013600,1129072500,서울특별시 성북구 화랑로9길 13(하월곡동),132,51,127.04039117,37.60282833,월곡감리교회,02-941-6671
1129000000,554,서울특별시,성북구,001,학교,종암중학교,1129013500200020012022934,1129013500,1129070500,서울특별시 성북구 종암로5길 80-17 (종암동),1356,522,127.03226624,37.59284562,유의현,02-6749-2032
1129000000,533,서울특별시,성북구,001,학교,숭인초등학교,1129013600102220004000003,1129013600,1129071500,서울특별시 성북구 오패산로16길 37(하월곡동),12685,4879,127.03840625,37.60893585,이연미,070-7126-8096
1129000000,555,서울특별시,성북구,001,학교,숭곡중학교,1129013600100870001000002,1129013600,1129071500,서울특별시 성북구 종암로 208(하월곡동),11369,4373,127.03113297,37.60794741,안재영,070-4323-5929
1129000000,553,서울특별시,성북구,001,학교,길음중학교,1129013400106350007025429,1129013400,1129066000,서울특별시 성북구 길음로 144(길음동),6373,2451,127.01709104,37.61442024,정일수,02-910-8677
1129000000,531,서울특별시,성북구,007,기타시설,길음종합사회복지관,1129013400109050000024380,1129013400,1129068500,서울특별시 성북구 삼양로8가길 32(길음동),1756,675,127.02474624,37.60882475,장영철,02-985--0161
1129000000,532,서울특별시,성북구,001,학교,숭례초등학교,1129013500100220001022780,1129013500,1129070500,서울특별시 성북구 종암로5길 14(종암동),680,262,127.03493577,37.59491189,성미경,02-927-5612
1130500000,82,서울특별시,강북구,001,학교,수송초등학교,1130510200104560000018125,1130510200,1130559000,서울특별시 강북구 한천로124길 14(번동),1344,516,127.0333923,37.63721649,,
1129000000,526,서울특별시,성북구,006,교회,정릉교회,1129013300101390002035532,1129013300,1129062000,서울특별시 성북구 정릉로 280(정릉동),100,38,127.01421944,37.60303003,정릉교회,02-914-8914
1129000000,530,서울특별시,성북구,001,학교,길음초등학교,1129013400106350007025428,1129013400,1129066000,서울특별시 성북구 길음로 142(길음동),12533,4820,127.01767246,37.61403616,김종윤,02-918-9984
1130500000,69,서울특별시,강북구,014,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",강북구 보훈회관,1130510100101980055000001,1130510100,1130553500,서울특별시 강북구 오패산로 290-1 (미아동),294,113,127.02964047,37.62661428,,
1130500000,81,서울특별시,강북구,001,학교,수송초등학교,1130510200104560000018125,1130510200,1130559000,서울특별시 강북구 한천로124길 14(번동),11126,4279,127.03326351,37.63735837,,
1130500000,64,서울특별시,강북구,001,학교,삼양초등학교,1130510100107911932033258,1130510100,1130553400,서울특별시 강북구 삼양로49길 17(미아동),7661,2947,127.01657752,37.62359425,,
1130500000,65,서울특별시,강북구,001,학교,삼양초등학교,1130510100107911932033258,1130510100,1130553400,서울특별시 강북구 삼양로49길 17(미아동),4636,1783,127.01699956,37.6235858,,
1130500000,76,서울특별시,강북구,001,학교,성암국제무역고등학교,1130510100103200001020987,1130510100,1130555500,서울특별시 강북구 도봉로29길 52(미아동),288,110,127.02473261,37.62098095,,
1130500000,71,서울특별시,강북구,001,학교,송중초등학교,1130510100100940001035142,1130510100,1130554500,서울특별시 강북구 오현로 9(미아동),457,175,127.03095788,37.6171559,,
1130500000,78,서울특별시,강북구,001,학교,삼각산초등학교,1130510100113570011024695,1130510100,1130557500,서울특별시 강북구 삼양로19길 141(미아동),751,289,127.01488092,37.61604207,,
1130500000,73,서울특별시,강북구,001,학교,창문여자중학교,1130510100100080006029097,1130510100,1130554500,서울특별시 강북구 월계로 61(미아동),2231,858,127.03647513,37.6130504,,
1130500000,75,서울특별시,강북구,001,학교,송천초등학교,1130510100104380000026298,1130510100,1130555500,서울특별시 강북구 삼양로20길 29(미아동),2816,1083,127.02332359,37.6159297,,
1130500000,77,서울특별시,강북구,001,학교,삼각산중학교,1130510100113570011024695,1130510100,1130557500,서울특별시 강북구 삼양로19길 141(미아동),945,363,127.01484949,37.61596563,,
1130500000,74,서울특별시,강북구,001,학교,화계초등학교,1130510100101270002018669,1130510100,1130554500,서울특별시 강북구 솔매로50가길 25(미아동),8994,3459,127.02936374,37.62389115,,
1130500000,72,서울특별시,강북구,001,학교,창문여자고등학교,1130510100100080006029101,1130510100,1130554500,서울특별시 강북구 월계로 61(미아동),664,255,127.03724947,37.61289779,,
1130500000,70,서울특별시,강북구,001,학교,송중초등학교,1130510100100940001035142,1130510100,1130554500,서울특별시 강북구 오현로 9(미아동),752,289,127.031357,37.61672012,,
4833000000,529,경상남도,양산시,001,학교,양산여자고등학교,4833011000102730000054149,4833011000,4833053000,경상남도 양산시 회현1길 36(교동),787,303,129.02560148,35.34473898,배선웅,055-384-2415
4833000000,585,경상남도,양산시,003,경로당,회현마을경로당,4833011000102840001000001,4833011000,4833053000,경상남도 양산시 교동1길 58(교동),39,15,129.02324801,35.34733625,김순자,011-9301-9287
4833000000,587,경상남도,양산시,001,학교,증산초등학교,4833025324127850001000001,4833025324,4833025300,경상남도 양산시 물금읍 새실1길 50,13002,5000,129.00762233,35.3160428,,
4833000000,594,경상남도,양산시,001,학교,범어고등학교,4833025324127120007000001,4833025324,4833025300,경상남도 양산시 물금읍 신주로 88,743,100,129.01874748,35.32985765,,
4833000000,13,경상남도,양산시,001,학교,영천초등학교,4833031023100180000012197,4833031023,4833031000,경상남도 양산시 동면 영천4길 6,198,76,129.11065547,35.31170843,진경호,055-383-0130
4825000000,77,경상남도,김해시,001,학교,신어중학교,4825011900102010000051195,4825011900,4825059000,경상남도 김해시 삼안로195번길 7(삼방동),1719,661,128.91143366,35.24487328,박종주,055-330-3283
4825000000,178,경상남도,김해시,013,"연수,숙박",굿모닝모텔,4825011900101800004086877,4825011900,4825059000,경상남도 김해시 활천로267번길 3-1 (삼방동),1021,116,128.90827101,35.24326832,이경애,010-3680-3239
4872000000,68,경상남도,의령군,001,학교,가례초등학교,4872031025101990002016232,4872031025,4872031000,경상남도 의령군 가례면 가례로 128,1920,581,128.24682379,35.33310994,이서연,055-573-2718
