wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links,시도명
1001602,환경부,평창군(송정교),강원도 평창군 진부면,하진부리 송정교,128.5511111111111,37.62416666666667,511.589,8.5,9.5,12,14.9,14.9,N,[],강원도
1001620,환경부,정선군(송계교),강원도 정선군,임계면 봉산리 송계교,128.8491666666667,37.494166666666665,491.02,1.5,2.5,3,3.6,3.64,N,[],강원도
1001622,환경부,정선군(혈천교),강원도 정선군,임계면 낙천리 혈천교,128.84694444444446,37.46472222222223,479.382,3,4,5,6.6,6.64,N,[],강원도
1001625,환경부,정선군(송천교),강원도 정선군,여량면 유천리 송천교,128.7186111111111,37.48555555555556,374.685,3.5,4.5,6,7.3,7.32,N,[],강원도
1001626,환경부,정선군(제1여량교),강원도 정선군 여량면,여량리 제1여량교,128.72916666666666,37.473333333333336,369.492,4,5,6,7.8,7.78,N,[],강원도
1001629,환경부,정선군(남평대교),강원도 정선군 북평면,남평리 남평대교,128.65305555555557,37.43888888888888,332.062,4.5,5.5,6.5,7.1,7.14,N,[],강원도
1001630,환경부,정선군(나전교),강원도 정선군,북평면 북평리 나전교,128.6497222222222,37.43861111111111,333.208,3,4,4.5,5.4,5.43,N,[],강원도
1001645,환경부,정선군(와평교),강원도 정선군 정선읍,신월리 와평교,128.68416666666667,37.36611111111111,313.547,3.5,4.5,5.5,7,7.02,N,[],강원도
1001649,환경부,정선군(애산교),강원도 정선군,정선읍 애산리 애산교,128.67083333333332,37.373333333333335,300.915,3,4,5,6,6.03,N,[],강원도
1001655,환경부,정선군(정선제1교),강원도 정선군,정선읍 봉양리 정선제1교,128.65722222222223,37.37833333333333,296.789,3.5,4.5,6,7.8,7.75,Y,[],강원도
1001658,환경부,정선군(광하교),강원도 정선군,정선읍 광하리 광하교,128.6188888888889,37.36972222222222,273.539,5.5,6.5,8.5,10.6,10.57,N,[],강원도
1001660,환경부,정선군(낙동교),강원도 정선군,남면 낙동리 낙동교,128.69361111111112,37.31888888888889,324.016,2,3,3.5,3.6,3.63,N,[],강원도
1001670,환경부,영월군(거운교),강원도 영월군,영월읍 거운리 거운교,128.51222222222222,37.234722222222224,196.936,2,3,4,4.5,4.49,N,[],강원도
1001690,환경부,영월군(영월대교),강원도 영월군,영월읍 덕포리 영월대교,128.4752777777778,37.18194444444444,183.205,4.6,6,8,10.5,10.48,Y,[],강원도
1002605,환경부,평창군(이목정교),강원도 평창군,용평면 이목정리 이목정교,128.47194444444446,37.62138888888889,590.873,2.5,3.5,4,4.8,4.82,N,[],강원도
1002610,환경부,평창군(장평교),강원도 평창군,용평면 장평리 장평교,128.4127777777778,37.58638888888889,526.963,1,2,2.5,3.2,3.22,N,[],강원도
1002615,환경부,평창군(백옥포교),강원도 평창군,용평면 백옥포리 386-3,128.39138888888888,37.586111111111116,521.655,1.5,2.5,3.5,4.5,4.53,N,[],강원도
1002625,환경부,평창군(선애교),강원도 평창군,대화면 상안미리 선애교,128.41,37.474444444444444,385.387,3,4,5,6.5,6.48,N,[],강원도
1002635,환경부,평창군(사초교),강원도 평창군,대화면 하안미리 사초교,128.43972222222223,37.45527777777778,374.616,2.5,3.5,4.5,5,4.96,N,[],강원도
1002640,환경부,평창군(상방림교),강원도 평창군,방림면 방림리 상방림교,128.41722222222222,37.43138888888889,359.217,3,3.5,4,4.7,4.74,N,[],강원도
1002650,환경부,평창군(평창교),강원도 평창군,평창읍 중리 평창교,128.40611111111113,37.367777777777775,288.472,2.5,3.5,4.5,5.6,5.46,Y,[],강원도
1002675,환경부,횡성군(안흥교),강원도 횡성군,안흥면 안흥리 안흥교,128.155,37.41222222222222,414.303,2,4.5,5.5,7.2,7.18,N,[],강원도
1002680,환경부,영월군(두학교),강원도 영월군,수주면 두산리 두학교,128.1925,37.296388888888885,306.256,2,3.5,5,6.1,6.11,N,[],강원도
1002685,환경부,영월군(주천교),강원도 영월군,주천면 신일리 주천교,128.26583333333335,37.2675,240.555,4,5,6,7.4,6.79,Y,[],강원도
1002687,환경부,영월군(신천교),강원도 영월군,한반도면 신천리 신천교,128.33166666666665,37.22972222222222,211.492,4,5,6,6.3,6.31,N,[],강원도
1002698,환경부,영월군(팔괴교),강원도 영월군,영월읍 하송리 팔괴교,128.45527777777778,37.17194444444444,181.215,3,4,5,6.4,6.44,N,[],강원도
1003605,환경부,영월군(충혼교),강원도 영월군 중동면,녹전리 충혼교,128.6808333333333,37.14222222222222,269.682,3,4,5,6.1,6.07,N,[],강원도
1003620,환경부,영월군(옥동교),강원도 영월군,김삿갓면 옥동리 옥동교,128.56416666666667,37.12222222222222,183.969,4,4.5,5.5,6.9,6.91,N,[],강원도
1003636,환경부,단양군(가대교),충청북도 단양군 가곡면,가대리 가대교,128.40555555555557,37.040277777777774,139.454,5,8.5,11,13.7,13.71,N,[],충청북도
1003642,환경부,단양군(덕천교),충청북도 단양군,가곡면 덕천리 덕천교,128.38916666666665,37.00555555555555,135.027,9,10,13,16.1,16.07,N,[],충청북도
1003645,환경부,단양군(단양1교),충청북도 단양군 단성면,북하리 단양1교,128.33555555555557,36.93111111111111,140.903,2.5, , ,5.8,5.78,N,[],충청북도
1003658,환경부,제천시(부수동교),충청북도 제천시 백운면,방학리 부수동교,128.0088888888889,37.14861111111111,219.627,2.5,3.5,4,5,4.97,N,[],충청북도
1003660,환경부,제천시(팔송교),충청북도 제천시 봉양읍,팔송리 팔송교,128.11972222222224,37.14722222222222,214.71,3,3.5,4,4.7,4.69,N,[],충청북도
1003661,환경부,제천시(구곡교),충청북도 제천시 봉양읍,구곡리 구곡교,128.10611111111112,37.11222222222222,185.267,3.5,4.5,5.5,6.5,6.5,N,[],충청북도
1004620,환경부,청주시(옥화1교),충청북도 청주시 상당구,미원면 옥화리 옥화1교,127.70166666666667,36.61527777777778,198.602,2,5,6,7.3,7.3,N,[],충청북도
1004645,환경부,괴산군(수전교),충청북도 괴산군,칠성면 외사리 수전교,127.8425,36.76722222222222,110.221,2,4,5.5,6.7,6.68,N,[],충청북도
1004646,환경부,괴산군(비도교),충청북도 괴산군,칠성면 비도리 비도교,127.87805555555555,36.79,118.175,2,3,3.5,4.4,4.38,N,[],충청북도
1004670,환경부,괴산군(추산교),충청북도 괴산군,불정면 추산리 추산교,127.81416666666667,36.89361111111111,95.281,3.5,4.5,5.5,6.8,6.8,N,[],충청북도
1004680,환경부,충주시(문강교),충청북도 충주시 살미면,문강리 문강교,127.94611111111111,36.88777777777778,98.733,2,3,3.5,3.9,3.91,N,[],충청북도
1004693,환경부,괴산군(목도교),충청북도 괴산군,불정면 목도리 목도교,127.85527777777777,36.87,87.793,2,3.5,4.5,5.9,5.87,Y,[],충청북도
1004695,환경부,충주시(국원대교),충청북도 충주시,대소원면 검단리 국원대교,127.87166666666666,36.96611111111111,63.819,4,5,6,8.1,8.05,N,[],충청북도
1005605,환경부,충주시(탄금교),충청북도 충주시,중앙탑면 창동리 탄금교,127.89,36.98861111111111,62.702,3,4.5,6,7,7.04,N,[],충청북도
1005640,환경부,충주시(목계교),충청북도 충주시,엄정면 목계리 목계교,127.88111111111111,37.07611111111112,52.337,3,5.5,7,9.1,9.07,N,[],충청북도
1005695,환경부,원주시(법천교),강원도 원주시,부론면 법천리 법천교,127.75416666666666,37.20444444444445,43.84,3.5,4.5,5.5,8.4,8.39,N,[],강원도
1005697,환경부,원주시(남한강대교),강원도 원주시,부론면 법천리 남한강대교,127.74777777777778,37.20611111111111,39.676,4,7,9,11.4,11.43,N,[],강원도
1006630,환경부,횡성군(오산교),강원도 횡성군 공근면,오산리 오산교,127.99138888888889,37.520833333333336,118.391,4,5,6,6.9,6.95,N,[],강원도
1006650,환경부,횡성군(횡성교),강원도 횡성군,횡성읍 읍하리 횡성교,127.98055555555555,37.495,107.053,1.5,3.5,4.5,5.3,5.31,N,[],강원도
1006660,환경부,횡성군(전천교),강원도 횡성군,횡성읍 교항리 전천교,127.98138888888889,37.48222222222223,107.876,2,3.5,4.5,5.9,5.86,N,[],강원도
1006665,환경부,원주시(원주교),강원도 원주시,봉산동 원주교,127.95555555555556,37.34777777777778,120.223,1,2.5,3,4,3.97,N,[],강원도
1006670,환경부,원주시(옥산교),강원도 원주시,호저면 옥산리 옥산교,127.92166666666667,37.42861111111111,80.576,2.5,6,7.5,9.4,9.39,N,[],강원도
1006672,환경부,원주시(장현교),강원도 원주시,호저면 신현리 장현교,127.89805555555556,37.42027777777778,77.58,5,6,7.5,8.9,8.9,N,[],강원도
1006680,환경부,원주시(지정대교),강원도 원주시,지정면 간현리 지정대교,127.83166666666666,37.361666666666665,59.492,4.5,5.5,6.5,7.4,7.42,N,[],강원도
1006690,환경부,원주시(문막교),강원도 원주시,문막읍 문막리 문막교,127.81027777777777,37.305,50.72,4.2,4.5,5.5,6.7,6.69,Y,[],강원도
1007604,환경부,안성시(한평교),경기도 안성시 일죽면,고은리 한평교,127.43361111111112,37.10638888888889,76.169,5,6,7,8.7,8.65,N,[],경기도
1007605,환경부,이천시(장호원교),경기도 이천시,장호원읍 장호원리 장호원교,127.63472222222222,37.11361111111111,56.683,2,4,5,5.6,5.6,N,[],경기도
1007615,환경부,여주시(원부교),경기도 여주시,점동면 원부리 원부교,127.63444444444445,37.16222222222222,50.945,4,5.5,6.5,7.6,8.69,Y,[],경기도
1007617,환경부,여주시(삼합교),경기도 여주시,점동면 삼합리 삼합교,127.71916666666667,37.202222222222225,42.076,3.5,5.5,7,8.3,8.26,N,[],경기도
1007620,환경부,여주시(강천리),경기도 여주시,강천면 강천리 546-1,127.71388888888889,37.23111111111111,38.4,5,6,8,9.9,9.92,N,[],경기도
