업체명,품목명,주소,대표전화번호,시도명,시군구명,경도,위도
서서울농협하나로마트사직점,식품가스 등,서울특별시 종로구 사직로8길 4 ,02-725-4021,서울특별시,종로구,126.9684298,37.57467165
이마트 청계천점,생필품,서울특별시 중구 청계천로 400,02-2290-1050,서울특별시,중구,127.0214639,37.57081055
이마트 용산점,양곡 및 생필품,서울특별시 용산구 한강대로23길 55,02-2012-1050,서울특별시,용산구,126.9647415,37.5297718
농협하나로클럽 용산점,양곡 및 생필품,서울특별시 용산구 청파로 122,02-2077-2812,서울특별시,용산구,126.964733,37.53317461
동명할인마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 마장로 193,02-2291-9989,서울특별시,성동구,127.0312519,37.56681866
부부슈퍼,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 무학봉길87-1,02-2294-8428,서울특별시,성동구,127.0318355,37.56206575
세림무지개마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 마장로42길14 B01호,02-2295-0638,서울특별시,성동구,127.0452562,37.56590754
우리마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 사근동길 58,02-2293-5549,서울특별시,성동구,127.0473891,37.56080608
하나로마트행당점,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 행당로 87,02-2297-7766,서울특별시,성동구,127.0285443,37.55729212
하모니마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 독서당로62길43,02-2293-0622,서울특별시,성동구,127.0335265,37.55190095
금호마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 금호산길 67,02-2236-2848,서울특별시,성동구,127.0195076,37.55434364
G-마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 무수막길80,02-2253-2442,서울특별시,성동구,127.0207336,37.55289841
중앙할인마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 독서당로 302,02-2294-9114,서울특별시,성동구,127.0227309,37.54761108
㈜뚝섬현대유통,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 성덕정길29,02-463-2211,서울특별시,성동구,127.0470184,37.53919037
쌍용수퍼렛,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 상원길 59 B동 107호 ,02-463-6988,서울특별시,성동구,127.0478884,37.54929959
롯데슈퍼성수점,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 아차산로7길 28,02-461-5601,서울특별시,성동구,127.0553768,37.54754415
럭키수퍼,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 광나루로 11길 28,02-498-0069,서울특별시,성동구,127.0671343,37.55024816
DS로지스,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 용답23길 20-1 (용답동),02-2245-4929,서울특별시,성동구,127.0540371,37.56235519
이마트 자양점,생필품,서울특별시 광진구 아차산로 272,02-3425-3323,서울특별시,광진구,127.0729962,37.53855827
롯데마트 강변점,생필품,서울특별시 광진구 광나루로 56길 85,02-3424-2506,서울특별시,광진구,127.0956922,37.53572518
홈플러스 구의점,생필품,서울특별시 광진구 자양로 168,02-2201-8545,서울특별시,광진구,127.0846048,37.54263602
홈플러스 구의2점,생필품,서울특별시 광진구 아차산로 473,02-458-8545,서울특별시,광진구,127.0942835,37.54051873
롯데슈퍼마켓 구의점,생필품,서울특별시 광진구 아차산로 450,02-452-5601,서울특별시,광진구,127.0923386,37.53851203
롯데슈퍼마켓 중곡점,생필품,서울특별시 광진구 긴고랑로 60,02-453-5604,서울특별시,광진구,127.0826856,37.56188161
그린팜마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 왕산로 108,02-969-4040,서울특별시,동대문구,127.0352645,37.57777976
부산상회,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 경동시장로10길 12,02-963-1440,서울특별시,동대문구,127.0413525,37.5812139
양평할인공판장,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 서울시립대로7길 8,02-2212-6662,서울특별시,동대문구,127.0481444,37.57739391
롯데슈퍼,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 사가정로 148,02-2248-8361,서울특별시,동대문구,127.0615677,37.57665904
우일슈퍼,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 사가정로 37,070-7518-7546,서울특별시,동대문구,127.0512514,37.57265571
참조은마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 전농로 44,02-2246-0070,서울특별시,동대문구,127.057386,37.56866202
싱싱할인마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 답십리로66길 87,02-2215-9033,서울특별시,동대문구,127.0665848,37.56885955
전곡할인마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 한천로 190,02-2247-7879,서울특별시,동대문구,127.068569,37.57789377
웰빙마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 제기로 132,02-969-8600,서울특별시,동대문구,127.0477983,37.58630596
GS25,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 회기로25길 23,02-967-7029,서울특별시,동대문구,127.0556719,37.5912085
충주상회,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 외대역동로1길 24,02-2216-0552,서울특별시,동대문구,127.0634709,37.59180913
서흥하이퍼마켓,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 망우로16길 20,02-2245-3351,서울특별시,동대문구,127.060972,37.58936957
GS외대휘경점,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 휘경로 30,02-957-2522,서울특별시,동대문구,127.063267,37.59491351
럭키할인마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 신이문로 27,02-967-7678,서울특별시,동대문구,127.065295,37.60315837
홈플러스면목점,생필품,서울특별시 중랑구 면목천로 33,02-439-2045,서울특별시,중랑구,127.081208,37.57920868
이마트상봉점,생필품,서울특별시 중랑구 상봉로 118,02-490-1234,서울특별시,중랑구,127.0936085,37.59646765
이마트묵동점,생필품,서울특별시 중랑구 동일로932,02-2094-1234,서울특별시,중랑구,127.0775571,37.61383938
홈플러스신내점,생필품,서울특별시 중랑구 신내로 201,02-2024-8124,서울특별시,중랑구,127.0935974,37.61598391
홈플러스상봉점,생필품,서울특별시 중랑구 망우로 353,02-6922-8100,서울특별시,중랑구,127.0916241,37.59833282
롯데슈퍼,"생필품, 생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 중랑구 겸재로9길23,02-432-3043,서울특별시,중랑구,127.0781696,37.58746419
하모니마트 면목점,"생수, 쌀, 기타생필품",서울특별시 중랑구 면목로 48길 39,02-2207-5785,서울특별시,중랑구,127.0908934,37.58220932
면목공판장,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 중랑구 면목로30길 7,02-436-1401,서울특별시,중랑구,127.0861882,37.57593941
유마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 중랑구 면목로35길 9,02-494-0016,서울특별시,중랑구,127.0853445,37.57806403
현대홈마트,생필품,서울특별시 중랑구 상봉중앙로 57,02-434-5551,서울특별시,중랑구,127.0871065,37.60236916
복지할인마트,"쌀, 생수,기타 생필품",서울특별시 중랑구 동일로 796 ,02-496-8366,서울특별시,중랑구,127.0798673,37.60137391
정나눔마트,생활용품,서울특별시 중랑구 봉화산로3길 59,02-437-7077,서울특별시,중랑구,127.0754298,37.60422063
더브러마트,"쌀, 생수, 기타 생필품",서울특별시 중랑구 공릉로2길31,02-971-8332,서울특별시,중랑구,127.0797513,37.61223218
롯데수퍼 묵동점,"생수, 쌀, 부식류, 부탄가스, 표백제 등",서울특별시 중랑구 동일로 887,02-949-6401,서울특별시,중랑구,127.0776393,37.60950638
농협하나로마트(망우점),"쌀, 생수, 기타 생필품",서울특별시 중랑구 용마산로118길 94,02-433-8022,서울특별시,중랑구,127.1056963,37.60106367
용마공판장,"생수, 쌀, 부식류, 부탄가스, 분유세트, 기저귀, 모기약 등",서울특별시 중랑구 용마공원로 38,02-435-4373,서울특별시,중랑구,127.1017726,37.59237841
수협바다마트,"식품, 잡화 전품목",서울특별시 중랑구 신내로14길 21,02-3723-0100,서울특별시,중랑구,127.097148,37.60612377
농협하나로마트(신내점),"생수, 쌀, 부탄가스, 분유, 젖병, 부식류, 즉석식품 등 ",서울특별시 중랑구 신내로 74,02-493-3080,서울특별시,중랑구,127.0956568,37.60593037
G마트,생필품,서울특별시 강북구 한천로144길 12,02-990-2165,서울특별시,강북구,127.0257417,37.64155352
롯데마트삼양점,생필품,서울특별시 강북구 삼양로 247,02-944-1520,서울특별시,강북구,127.017747,37.62551826
롯데마트수유점,생필품,서울특별시 강북구 도봉로67길 18 ,02-981-5601,서울특별시,강북구,127.0226681,37.63072891
하나로마트 창동점,생필품,서울특별시 도봉구 마들로11길 20 ,02-3499-6121,서울특별시,도봉구,127.0508313,37.65511059
(주)이마트 월계점,"생수 ,쌀, 부식류, 부탄가스, 살균표백제, 즉석식품 등",서울특별시 노원구 마들로3길15,02-2092-1051,서울특별시,노원구,127.0619798,37.62650936
진흥마켓,"생수, 쌀, 부탄가스, 분유",서울특별시 은평구 은평로 203,02-385-0044,서울특별시,은평구,126.9303141,37.60199466
지마트,생필품,서울특별시 서대문구 연희로 245,02-325-8249,서울특별시,서대문구,126.9357502,37.57900001
현대그린마트,생필품,서울특별시 서대문구 통일로 201-1,02-364-5433,서울특별시,서대문구,126.9609805,37.5711833
스타슈퍼,생필품,서울특별시 서대문구 북아현로 62,02-363-3230,서울특별시,서대문구,126.9554017,37.56286828
신촌오렌지마트,생필품,서울특별시 서대문구 이화여대길 50-12,02-365-8245,서울특별시,서대문구,126.9465196,37.55945396
신라마트,생필품,서울특별시 서대문구 북아현로 4길 9-2,02-313-8115,서울특별시,서대문구,126.9573591,37.5593061
연세마트,생필품,서울특별시 서대문구 홍연8길 3,02-332-4799,서울특별시,서대문구,126.9313614,37.57665108
진성할인마트,생필품,서울특별시 서대문구 간호대로 20,02-391-8884,서울특별시,서대문구,126.9481337,37.59692937
마당쇠 할인마트,생필품,서울특별시 서대문구 홍은중앙로 81,02-395-9663,서울특별시,서대문구,126.9466455,37.59845165
하나마트,생필품,서울특별시 서대문구 모래내로 352-3,02-395-5600,서울특별시,서대문구,126.9356478,37.58111071
진성마트,생필품,서울특별시 서대문구 증가로10길 16-41,02-302-4980,서울특별시,서대문구,126.9240702,37.57806676
에덴할인마트,생필품,서울특별시 서대문구 증가로25길 33,02-375-2820,서울특별시,서대문구,126.9125377,37.58083267
서서울농협하나로마트(서강점),"생수, 쌀 등 식품류, 생활용품 ",서울특별시 마포구 창전로 45 서강한화오벨리스크,02-3144-5253,서울특별시,마포구,126.9320035,37.54686334
합정마트(합정역),"생수, 쌀 등 식품류, 생활용품 ","서울특별시 마포구 양화진길5, 합정아파트",02-334-6323,서울특별시,마포구,126.9131863,37.54821115
서민구판장(망원역),"생수, 쌀 등 식품류, 생활용품 ",서울특별시 마포구 망원로8길 43,02-335-2494,서울특별시,마포구,126.9065034,37.55558441
다농마트(마포농수산물센터),"생수, 쌀 등 식품류, 생활용품 ",서울특별시 마포구 월드컵로 211,02-303-9893,서울특별시,마포구,126.9010205,37.5652625
홈플러스 목동점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 양천구 목동서로 170,02-2644-2080,서울특별시,양천구,126.8733001,37.53024475
