지자체명,단수지역,단수사유,단수시작일시,단수시작시간,단수종료일시,단수종료시간,공사명,공사개요,작성부서,작성일,담당자,연락처
단양군,단양읍 후곡리,상수관로 공사에 따른 단수,2019-11-26,9:40,2019-11-26,16:00,후곡 하자보수,단양군 하자보수로 인한 단수(후곡리),충주권지사,2019-11-26,,
단양군,삼화동,상수관로 누수,2019-11-19,14:00,2019-11-19,15:00,누수복구,배수관로 누수,충주권지사,2019-11-18,,
단양군,장발리,상수관로 공사에 따른 단수,2019-11-07,0:00,2019-11-07,0:00,상수도관로공사,상수도관로공사,충주권지사,2019-11-07,,
단양군,어상천,시설물 고장,2019-09-02,13:00,2019-09-02,18:00,긴급단수,긴급단수,충주권지사,2019-09-02,,
단양군,매포읍 안동길,단양군 우덕교 교량확장공사 손괴사고,2019-08-15,12:30,2019-08-15,16:30,단양군 우덕교 교량확장공사,단양군 우덕교 교량확장공사,충주권지사,2019-08-15,표명준,043-420-2312
단양군,매포읍 평동 3리,계량기함 이설,2019-04-12,14:00,2019-04-12,14:30,계량기함 이설,계량기함 이설,충주권지사,2019-04-12,,
완도군,금일읍 하화전리,원관누수복구,2019-04-06,11:00,2019-04-06,16:00,원관보수작업,원관누수복구,완도수도관리단,2019-04-06,,
진도군,의신면 정지리,의신천 교량공사중 급수관로 중첩으로 인한 이설,2019-12-05,14:00,2019-12-05,17:00,의신천 정비공사,100mm 급수관로 30m 매설 후 연결작업 시행,진도수도관리단,2019-12-04,,
진도군,연주마을,연주마을 관로 누수복구,2019-11-15,0:00,2019-11-15,17:00,누수복구,연주마을 관로 누수복구,진도수도관리단,2019-11-13,,
진도군,금갑 해수욕장 입구~ 접도,금갑 해수욕장 입구 관로 간섭으로 인한 하월공사,2019-11-18,14:00,2019-11-18,17:00,관로 하월공사,금갑 해수욕장 입구 관로 간섭으로 인한 하월공사,진도수도관리단,2019-11-13,,
진도군,진도읍 염장마을,염장마을회관 앞 관로 누수복구,2019-11-14,14:00,2019-11-14,17:00,누수복구,염장마을회관 앞 관로 누수복구,진도수도관리단,2019-11-13,,
