시도명,시군구명,시설구분,시설명,상세주소,시설면적,주거능력,관리부서,지자체담당자연락처,경도,위도
충청남도,당진시,기타시설,당진시종합복지타운,충청남도 당진시 시청1로 38(수청동),14655,5636,당진시장,041-350-3642,126.64382259,36.89174066
충청남도,당진시,마을회관,통정1리 마을회관,충청남도 당진시 석문면 보덕포로 1017-3 ,161,49,,,126.59423526,36.98113237
충청남도,당진시,마을회관,시곡2통 마을회관,충청남도 당진시 시곡로 248-25 (시곡동),259,78,,,126.67803084,36.89421507
충청남도,당진시,마을회관,수청1통 마을회관,충청남도 당진시 수청동   124-1,132,40,,,126.6563224,36.88054534
충청남도,당진시,기타시설,당진종합운동장트레이닝센터,충청남도 당진시 고대면 고대로 33,1493,574,당진시장,041-350-3642,126.59611483,36.92292946
충청남도,당진시,학교,고대초등학교 강당,충청남도 당진시 고대면 고대로 206,670,257,이재원,041-350-3642,126.5936197,36.93675739
충청남도,당진시,학교,고산초등학교 강당,충청남도 당진시 고대면 서집들길 55,400,153,이재원,041-350-3642,126.57269884,36.95731589
충청남도,당진시,기타시설,당진근로자종합복지관,충청남도 당진시 송악읍 부곡공단4길 53-13 ,3380,1300,당진시장,041-350-3642,126.77533359,36.96171682
충청남도,당진시,학교,송악고등학교 강당,충청남도 당진시 송악읍 송악로 165,836,321,이재원,041-350-3642,126.70378247,36.91693819
충청남도,당진시,학교,상록초등학교,충청남도 당진시 송악읍 송악로 1024,693,266,박정협,041-350-3642,126.76920472,36.95925184
충청남도,당진시,기타시설,송악교육문화스포츠센터,충청남도 당진시 송악읍 틀모시로 830,6653,2558,당진시장,041-350-3642,126.69115973,36.90711884
충청남도,당진시,"연수,숙박",민간숙박시설,충청남도 당진시 송악읍 반촌리 794-19,21,42,,,126.70266099,36.9020868
충청남도,당진시,마을회관,회태리 마을회관,충청남도 당진시 합덕읍 남부로 1458,50,15,,,126.73667509,36.8241751
충청남도,당진시,마을회관,성동리 마을회관,충청남도 당진시 합덕읍 성동로 98,79,23,,041-350-3643,126.76476182,36.79240018
충청남도,당진시,마을회관,합덕리 마을회관,충청남도 당진시 합덕읍 신촌로 6,132,40,,,126.78755922,36.79396227
충청남도,당진시,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",남부문화스포츠센터,충청남도 당진시 합덕읍 굴미1길 222,634,243,,,126.77937573,36.80141512
충청남도,당진시,마을회관,구룡2통 마을회관,충청남도 당진시 도곡길 17(구룡동),116,35,,,126.61080813,36.82942729
충청남도,당진시,마을회관,교동1리 마을회관,충청남도 당진시 합덕읍 합덕교동2길 17,144,44,,,126.77762781,36.80817855
충청남도,당진시,마을회관,구룡1통 마을회관,충청남도 당진시 면천로 3(구룡동),181,55,,,126.60399251,36.83022475
충청남도,공주시,학교,신관초등학교,충청남도 공주시 번영1로 97-13 (신관동),1941,746,이혜진,041-856-1902,127.13889118,36.47563846
충청남도,공주시,"연수,숙박",마루호텔,충청남도 공주시 전막2길 16-1 (신관동),1488,120,,041-853-2600,127.13025706,36.470819
충청남도,공주시,학교,공주정보고등학교,충청남도 공주시 마근동길 29(금흥동),2547,979,양영태,041-856-1674,127.15727003,36.48531954
