정수장,시도,주소,정수장 코드,위도,경도
반월정수장,경기도,경기도 안산시 상록구 정재초교길 61,311,37.3377525,126.8668771
덕소정수장,경기도,경기도 남양주시 와부읍 안골로 78,317,37.587473,127.242342
고양정수장,경기도,경기도 고양시 일산동구 대주로 326,319,37.649395,126.8138466
연초정수장,경상남도,경상남도 거제시 대금산로 95,331,34.9711441,128.6871045
구천정수장,경상남도,경상남도 거제시 거제중앙로 1333,332,34.8474236,128.6475627
사천정수장,경상남도,경상남도 사천시 축동면 수자원길 30,333,35.097202,128.104444
반송정수장,경상남도,경남 창원시 성산구 충혼로 224번길 18,335,35.242699,128.668499
온산정수장,울산광역시,울산광역시 울주군 온산읍 온산로 221-16,336,35.46755,129.32879
운문정수장,경상북도,경북 청도군 운문면 운문로 2490,340,35.65758,129.0135
고령정수장,경상북도,경북 고령군 다산면 다산로 1343,344,35.8174025,128.4396803
석성정수장,충청남도,충남 부여군 석성면 왕릉로 371,351,36.2608414,126.9909024
청주정수장,충청북도,충북 청주시 서원구 제2순환로 1571,353,36.606227,127.454715
아산정수장,충청남도,충남 아산시 영인면 영인산로 590,354,36.8648938,126.936085
천안정수장,충청남도,충남 천안시 동남구 풍세면 미죽로 301-96,355,36.74748035,127.1478546
송전정수장,강원도,강원 횡성군 횡성읍 송전로 135,356,37.5372219,128.0243831
공주정수장,충청남도,충남 공주시 무령로 540,357,36.45704,127.1115378
화순정수장,전라남도,전남 화순군 화순읍 화동로 126,364,35.0547559,127.0102746
대불정수장,전라남도,전남 무안군 몽타면 청용리 95-3,366,34.907691,126.503806
고산정수장,전라북도,전북 완주군 고산면 송학길 27,367,35.977277,127.227833
황지정수장,강원도,강원도 태백시 황지동 구와우길 66,371,37.211564,128.988158
학야정수장,경상북도,경상북도 포항시 북구 기계면 학야길 129번길 105,378,36.049459,129.203307
밀양정수장,경상남도,경남 밀양시 산외면 다원길 93,381,35.510756,128.807746
양산정수장,경상남도,경남 양산시 상북면 상삼5길 126,382,35.421087,129.051579
동화정수장,전라북도,전북 장수군 변암면 봉화산로 40,385,35.53307,127.548964
덕정정수장,전라남도,전남 장흥군 부산면 덕정길 135,386,34.716763,126.922616
평림정수장,전라남도,전남 장성군 삼계면 평림암치로 141,387,35.3140532,126.6644193
구미정수장,경상북도,경북 구미시 고아읍 송평구길 138-5,866,36.168026,128.377056
