cd,도시,시군구
1111051500,서울특별시,종로구
1114052000,서울특별시,중구
1117051000,서울특별시,용산구
1120052000,서울특별시,성동구
1121571000,서울특별시,광진구
1123053600,서울특별시,동대문구
1126052000,서울특별시,중랑구
1129052500,서울특별시,성북구
1130553400,서울특별시,강북구
1132051100,서울특별시,도봉구
1135056000,서울특별시,노원구
1138051000,서울특별시,은평구
1141052000,서울특별시,서대문구
1144055500,서울특별시,마포구
1147051000,서울특별시,양천구
1150051000,서울특별시,강서구
1153051000,서울특별시,구로구
1154551000,서울특별시,금천구
1156051500,서울특별시,영등포구
1159051000,서울특별시,동작구
1162052500,서울특별시,관악구
1165051000,서울특별시,서초구
1168051000,서울특별시,강남구
1171051000,서울특별시,송파구
1174051500,서울특별시,강동구
2611051000,부산광역시,중구
2614051000,부산광역시,서구
2617051000,부산광역시,동구
2620053000,부산광역시,영도구
2623051000,부산광역시,부산진구
2626051000,부산광역시,동래구
2629051000,부산광역시,남구
2632051000,부산광역시,북구
2635051000,부산광역시,해운대구
2638051000,부산광역시,사하구
2641051000,부산광역시,금정구
2644051000,부산광역시,강서구
2647061000,부산광역시,연제구
2650066000,부산광역시,수영구
2653058000,부산광역시,사상구
2671025000,부산광역시,기장군
2711051700,대구광역시,중구
2714051000,대구광역시,동구
2717051000,대구광역시,서구
2720051500,대구광역시,남구
2723051000,대구광역시,북구
2726051000,대구광역시,수성구
2729051500,대구광역시,달서구
2771025000,대구광역시,달성군
2811052000,인천광역시,중구
2814051000,인천광역시,동구
2817751000,인천광역시,미추홀구
2818563000,인천광역시,연수구
2820051000,인천광역시,남동구
2823751000,인천광역시,부평구
2824560100,인천광역시,계양구
2826051500,인천광역시,서구
2871025000,인천광역시,강화군
2872031000,인천광역시,옹진군
2911052500,광주광역시,동구
2914057500,광주광역시,서구
2915551000,광주광역시,남구
2917051000,광주광역시,북구
2920051500,광주광역시,광산구
3011051500,대전광역시,동구
3014053500,대전광역시,중구
3017051000,대전광역시,서구
3020052000,대전광역시,유성구
3023051000,대전광역시,대덕구
3111051000,울산광역시,중구
3114051000,울산광역시,남구
3117051000,울산광역시,동구
3120051000,울산광역시,북구
3171025000,울산광역시,울주군
3611025000,세종특별자치시,세종시
4111156000,경기도,수원시장안구
4111352000,경기도,수원시권선구
4111565000,경기도,수원시팔달구
4111751000,경기도,수원시영통구
4113151000,경기도,성남시수정구
4113351000,경기도,성남시중원구
4113551000,경기도,성남시분당구
4115051000,경기도,의정부시
4117151000,경기도,안양시만안구
4117351000,경기도,안양시동안구
4119060300,경기도,부천시
4121051000,경기도,광명시
4122025000,경기도,평택시
4125051000,경기도,동두천시
4127151000,경기도,안산시상록구
4127351000,경기도,안산시단원구
4128151000,경기도,고양시덕양구
4128551000,경기도,고양시일산동구
4128751000,경기도,고양시일산서구
4129051000,경기도,과천시
4131051000,경기도,구리시
4136025000,경기도,남양주시
4137051000,경기도,오산시
4139051000,경기도,시흥시
4141051000,경기도,군포시
4143051000,경기도,의왕시
4145051000,경기도,하남시
4146125000,경기도,용인시처인구
4146351000,경기도,용인시기흥구
4146551000,경기도,용인시수지구
4148025000,경기도,파주시
4150025000,경기도,이천시
4155025000,경기도,안성시
4157025000,경기도,김포시
4159025300,경기도,화성시
4161025000,경기도,광주시
4163025000,경기도,양주시
4165025000,경기도,포천시
4167025000,경기도,여주시
4180025000,경기도,연천군
4182025000,경기도,가평군
4183025000,경기도,양평군
4211025000,강원도,춘천시
4213025000,강원도,원주시
4215025000,강원도,강릉시
4217051000,강원도,동해시
4219051500,강원도,태백시
4221051000,강원도,속초시
4223025000,강원도,삼척시
4272025000,강원도,홍천군
4273025000,강원도,횡성군
4275025000,강원도,영월군
4276025000,강원도,평창군
4277025000,강원도,정선군
4278025000,강원도,철원군
4279025000,강원도,화천군
4280025000,강원도,양구군
4281025000,강원도,인제군
4282025000,강원도,고성군
4283025000,강원도,양양군
4311131000,충청북도,청주시상당구
4311231000,충청북도,청주시서원구
4311325000,충청북도,청주시흥덕구
4311425000,충청북도,청주시청원구
4313025000,충청북도,충주시
4315025000,충청북도,제천시
4372025000,충청북도,보은군
4373025000,충청북도,옥천군
4374025000,충청북도,영동군
4374525000,충청북도,증평군
4375025000,충청북도,진천군
4376025000,충청북도,괴산군
4377025000,충청북도,음성군
4380025000,충청북도,단양군
4413125000,충청남도,천안시동남구
4413325000,충청남도,천안시서북구
4415025000,충청남도,공주시
4418025000,충청남도,보령시
4420025000,충청남도,아산시
4421025000,충청남도,서산시
4423025000,충청남도,논산시
4425031000,충청남도,계룡시
4427025000,충청남도,당진시
4471025000,충청남도,금산군
4476025000,충청남도,부여군
4477025000,충청남도,서천군
4479025000,충청남도,청양군
4480025000,충청남도,홍성군
4481025000,충청남도,예산군
4482525000,충청남도,태안군
4511151000,전라북도,전주시완산구
4511352500,전라북도,전주시덕진구
4513025000,전라북도,군산시
4514025000,전라북도,익산시
4518025000,전라북도,정읍시
4519025000,전라북도,남원시
4521025000,전라북도,김제시
4571025000,전라북도,완주군
4572025000,전라북도,진안군
4573025000,전라북도,무주군
4574025000,전라북도,장수군
4575025000,전라북도,임실군
4577025000,전라북도,순창군
4579025000,전라북도,고창군
4580025000,전라북도,부안군
4611051000,전라남도,목포시
4613025000,전라남도,여수시
4615025000,전라남도,순천시
4617025000,전라남도,나주시
4623025000,전라남도,광양시
4671025000,전라남도,담양군
4672025000,전라남도,곡성군
4673025000,전라남도,구례군
4677025000,전라남도,고흥군
4678025000,전라남도,보성군
4679025000,전라남도,화순군
4680025000,전라남도,장흥군
4681025000,전라남도,강진군
4682025000,전라남도,해남군
4683025000,전라남도,영암군
4684025000,전라남도,무안군
4686025000,전라남도,함평군
4687025000,전라남도,영광군
4688025000,전라남도,장성군
4689025000,전라남도,완도군
4690025000,전라남도,진도군
4691025000,전라남도,신안군
4711125000,경상북도,포항시남구
4711325000,경상북도,포항시북구
4713025000,경상북도,경주시
4715025000,경상북도,김천시
4717025000,경상북도,안동시
4719025000,경상북도,구미시
4721025000,경상북도,영주시
4723025000,경상북도,영천시
4725025000,경상북도,상주시
4728025000,경상북도,문경시
4729025000,경상북도,경산시
4772025000,경상북도,군위군
4773025000,경상북도,의성군
4775025000,경상북도,청송군
4776025000,경상북도,영양군
4777025000,경상북도,영덕군
4782025000,경상북도,청도군
4783025300,경상북도,고령군
4784025000,경상북도,성주군
4785025000,경상북도,칠곡군
4790025000,경상북도,예천군
4792025000,경상북도,봉화군
4793025000,경상북도,울진군
4794025000,경상북도,울릉군
4812125000,경상남도,창원시의창구
4812351000,경상남도,창원시성산구
4812531000,경상남도,창원시마산합포구
4812725000,경상남도,창원시마산회원구
4812953000,경상남도,창원시진해구
4817025000,경상남도,진주시
4822025000,경상남도,통영시
4824025000,경상남도,사천시
4825025000,경상남도,김해시
4827025000,경상남도,밀양시
4831031000,경상남도,거제시
4833025300,경상남도,양산시
4872025000,경상남도,의령군
4873025000,경상남도,함안군
4874025000,경상남도,창녕군
4882025000,경상남도,고성군
4884025000,경상남도,남해군
4885025000,경상남도,하동군
4886025000,경상남도,산청군
4887025000,경상남도,함양군
4888025000,경상남도,거창군
4889025000,경상남도,합천군
5011025000,제주특별자치도,제주시
5013025000,제주특별자치도,서귀포시
