rfobscd,agcnm,obsnm,addr,etcaddr,lon,lat,links,시도명,시군구명
10014010,환경부,평창군(월정분교),강원도 평창군,진부면 내동산길 4 진부초등학교 월정분교(폐교),128.5991666666667,37.70944444444445,[],강원도,평창군
10014020,환경부,정선군(정선군2청사),강원도 정선군,정선읍 녹송4길 71 정선군 제2청사,128.67361111111111,37.384166666666665,[],강원도,정선군
10014070,환경부,상원사,강원도 평창군 진부면,동산 오대산장,128.57944444444445,37.761944444444445,[],강원도,평창군
10014080,환경부,강릉시(대기리),강원도 강릉시,왕산면 대기리 922-1,128.7775,37.586111111111116,[],강원도,강릉시
10014090,환경부,정선군(고한읍사무소),강원도 정선군,고한읍 고한2길 1 고한읍행정복지센터,128.85166666666666,37.20416666666667,[],강원도,정선군
10014100,환경부,삼척시(번천리),강원도 삼척시,하장면 번천리 125-1,128.9972222222222,37.365833333333335,[],강원도,삼척시
10014110,한국수자원공사,평창군(상진부리),강원도 평창군,진부면 상진부리 42-4,128.57805555555555,37.65888888888889,[],강원도,평창군
10014120,한국수자원공사,평창군(수하리),강원도 평창군,도암면 수하리 142-1,128.70749999999998,37.659166666666664,[],강원도,평창군
10014130,한국수자원공사,정선군(여탄리),강원도 정선군,정선읍 애산3리250,128.69944444444445,37.38138888888889,[],강원도,정선군
10014140,한국수자원공사,정선군(송계리),강원도 정선군,임계면 송계1리 887-2,128.82,37.494166666666665,[],강원도,정선군
10014150,한국수자원공사,정선군(직전리),강원도 정선군,사북읍 직전리 산588-2,128.81944444444443,37.234722222222224,[],강원도,정선군
10014160,한국수자원공사,평창군(율치리),강원도 평창군,미탄면 율치리 산20-4,128.49249999999998,37.325,[],강원도,평창군
10014170,한국수자원공사,강릉시(대기리2),강원도 강릉시,왕산면 대기3리 산1656,128.74416666666664,37.573055555555555,[],강원도,강릉시
10014180,한국수자원공사,삼척시(광동리),강원도 삼척시,하장면 광동리 120,128.93666666666667,37.35,[],강원도,삼척시
10014190,한국수자원공사,삼척시(광동댐),강원도 삼척시,하장면 숙암리 산104,128.96694444444444,37.336666666666666,[],강원도,삼척시
10014197,한국수자원공사,태백시(상사미동),강원도 태백시,삼수동 2통 1반,128.99166666666665,37.280277777777776,[],강원도,태백시
10014200,한국수자원공사,평창군(회동리),강원도 평창군,미탄면 회동리 619,128.48722222222221,37.36416666666667,[],강원도,평창군
10014210,한국수자원공사,평창군(수항리),강원도 평창군,진부면 수항리 96-1,128.5675,37.56111111111111,[],강원도,평창군
10014220,한국수자원공사,정선군(문곡리),강원도 정선군,남면 문곡리 273-2,128.6786111111111,37.26833333333333,[],강원도,정선군
10014230,한국수자원공사,정선군(유천리),강원도 정선군 여량면,노추산로 205,128.72861111111112,37.48722222222222,[],강원도,정선군
10014240,한국수자원공사,정선군(덕암리),강원도 정선군,임계면 덕암리 305-3,128.83416666666668,37.35722222222223,[],강원도,정선군
10014250,한국수자원공사,원동,강원도 태백시,원동 41번지,128.9636111111111,37.264722222222225,[],강원도,태백시
10014260,한국수력원자력,송천1교,강원도 평창군,대관령면 횡계리,128.7097222222222,37.668055555555554,[],강원도,평창군
10024010,환경부,평창군(가평초교),강원도 평창군,대화면 가평로 400 가평초등학교,128.48250000000002,37.447222222222216,[],강원도,평창군
10024060,환경부,평창군(방림면사무소),강원도 평창군,방림면 서동로 1337 방림면사무소,128.39416666666665,37.42638888888889,[],강원도,평창군
10024070,환경부,대화,강원도 평창군 대화면,대화410-5(대화면사무소),128.46027777777778,37.49805555555556,[],강원도,평창군
10024080,환경부,계촌,강원도 평창군 방림면,계촌4 계촌초교,128.30694444444447,37.45,[],강원도,평창군
10024090,환경부,평창군(흥정리),강원도 평창군,봉평면 흥정리계곡4길 61-4,128.31694444444443,37.651111111111106,[],강원도,평창군
10024100,환경부,평창군(계촌리),강원도 평창군,방림면 고원로 1249 (구)헴프전시체험실,128.34555555555556,37.45416666666667,[],강원도,평창군
10024110,환경부,평창군(유포리),강원도 평창군,봉평면 유포리 597-10,128.37722222222223,37.525555555555556,[],강원도,평창군
