SPOT_NM,DO_NM,CTY_NM,ADRES
잣절지하수공동시설,서울특별시,구로구,서울특별시 구로구 개봉동 2-61
잣절,서울특별시,구로구,서울특별시 구로구 개봉동 2-61
개봉3약수터,서울특별시,구로구,서울특별시 구로구 개봉동 53-3
오남,서울특별시,구로구,서울특별시 구로구 오류동 42-29
궁동,서울특별시,구로구,서울특별시 구로구 궁동 10-49
항동,서울특별시,구로구,서울특별시 구로구 항동 31-1
잣절지하수공동시설,서울특별시,구로구,서울특별시 구로구 개봉동 2-61
냉천약수터,충청북도,단양군,충청북도 단양군 단성면 장회리21-7
냉천약수터,충청북도,단양군,충청북도 단양군 단성면 장회리21-7
평동약수터,충청북도,단양군,충청북도 단양군 매포읍 103-4
평동약수터,충청북도,단양군,충청북도 단양군 매포읍 103-4
평동약수터,충청북도,단양군,충청북도 단양군 매포읍 103-4
각원사약수,충청남도,천안시동남구,충청남도 천안시동남구 98-83
흑성산약수,충청남도,천안시동남구,충청남도 천안시동남구 31
가남,부산광역시,부산진구,부산광역시 부산진구 가야동 10
용골,부산광역시,부산진구,부산광역시 부산진구 당감동 34
용골,부산광역시,부산진구,부산광역시 부산진구 당감동 34
용골,부산광역시,부산진구,부산광역시 부산진구 당감동 34
공동정호,부산광역시,부산진구,부산광역시 부산진구 범천동 44
공동정호,부산광역시,부산진구,부산광역시 부산진구 범천동 44
공동정호,부산광역시,부산진구,부산광역시 부산진구 범천동 44
수산대,부산광역시,동래구,부산광역시 동래구 온천동 92-2
수산대,부산광역시,동래구,부산광역시 동래구 온천동 92-2
수산대,부산광역시,동래구,부산광역시 동래구 온천동 92-2
대덕사,부산광역시,동래구,부산광역시 동래구 온천동 92-2
대덕사,부산광역시,동래구,부산광역시 동래구 온천동 92-2
대덕사,부산광역시,동래구,부산광역시 동래구 온천동 92-2
만수정,부산광역시,동래구,부산광역시 동래구 온천동 190-8
서울대공원서울랜드뒤,서울특별시,,서울특별시  61-75
미타사약수터,서울특별시,구로구,서울특별시 구로구 오류동 44
만수천,서울특별시,종로구,서울특별시 종로구 옥인동 3-14
무악재,서울특별시,종로구,서울특별시 종로구 무악동 48
백사실,서울특별시,종로구,서울특별시 종로구 부암동 109-2
산림수목원,서울특별시,종로구,서울특별시 종로구 옥인동 179-1
석굴암(1),서울특별시,종로구,서울특별시 종로구 옥인동 3-14
천황지,강원도,철원군,강원도 철원군 철원읍 
천황지,강원도,철원군,강원도 철원군 철원읍 
망나니골,강원도,철원군,강원도 철원군 갈말읍 
망나니골,강원도,철원군,강원도 철원군 갈말읍 
망나니골,강원도,철원군,강원도 철원군 갈말읍 
금학산,강원도,철원군,강원도 철원군 동송읍 
금학산,강원도,철원군,강원도 철원군 동송읍 
금학산,강원도,철원군,강원도 철원군 동송읍 
성불사,경기도,의정부시,경기도 의정부시 가능동 81-2
사폐산,경기도,의정부시,경기도 의정부시 가능동 81-2
북한산공원세심천(우이),서울특별시,강북구,서울특별시 강북구 우이동 
북한산공원세심천(정릉),서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원신성천,서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원영비천,서울특별시,강북구,서울특별시 강북구 수유동 
북한산공원영천,서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원영추천,서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원용담수,서울특별시,강북구,서울특별시 강북구 우이동 
북한산공원용천수(수유),서울특별시,강북구,서울특별시 강북구 수유동 
북한산공원청담샘,서울특별시,종로구,서울특별시 종로구 평창동 
북한산공원청수천,서울특별시,성북구,서울특별시 성북구 정릉동 
서울대공원자연과함께하는숲,서울특별시,,서울특별시  104
서울대공원쉬어가는숲,서울특별시,,서울특별시  65-125
서울대공원서울랜드뒤,서울특별시,,서울특별시  61-75
미타사약수터,서울특별시,구로구,서울특별시 구로구 오류동 44
성덕사지구,서울특별시,중랑구,서울특별시 중랑구 중화동 9-5
솔밭약수,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
송림천,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
용건,서울특별시,중랑구,서울특별시 중랑구 면목동 35-1
용마(1),서울특별시,중랑구,서울특별시 중랑구 면목동 1-2
용마산,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
용마천,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
조양천,서울특별시,중랑구,서울특별시 중랑구 면목동 1-2
태능지구,서울특별시,중랑구,서울특별시 중랑구 묵동 46-1
녹산,서울특별시,성북구,서울특별시 성북구 성북동 25-1
새북악,서울특별시,성북구,서울특별시 성북구 정릉동 87-1
정이(상),서울특별시,강북구,서울특별시 강북구 번동 17
정이샘(하),서울특별시,강북구,서울특별시 강북구 번동 17
세심천(방학),서울특별시,도봉구,서울특별시 도봉구 방학동 90-14
원당샘,서울특별시,도봉구,서울특별시 도봉구 방학동 547
광석,서울특별시,노원구,서울특별시 노원구 상계동 53
함박골약수터,부산광역시,연제구,부산광역시 연제구 연산동 180-1
얼음골약수터,부산광역시,수영구,부산광역시 수영구 망미동 114
얼음골약수터,부산광역시,수영구,부산광역시 수영구 망미동 114
얼음골약수터,부산광역시,수영구,부산광역시 수영구 망미동 114
삼성약수터,부산광역시,수영구,부산광역시 수영구 망미동 107-1
삼성약수터,부산광역시,수영구,부산광역시 수영구 망미동 107-1
삼성약수터,부산광역시,수영구,부산광역시 수영구 망미동 107-1
만수약수터,부산광역시,동구,부산광역시 동구 초량동 26
만수약수터,부산광역시,동구,부산광역시 동구 초량동 26
새구봉천약수터,부산광역시,동구,부산광역시 동구 초량동 34-1
새구봉천약수터,부산광역시,동구,부산광역시 동구 초량동 34-1
새구봉천약수터,부산광역시,동구,부산광역시 동구 초량동 34-1
백운사약수터,부산광역시,동구,부산광역시 동구 수정동 17
백운사약수터,부산광역시,동구,부산광역시 동구 수정동 17
백운사약수터,부산광역시,동구,부산광역시 동구 수정동 17
바가지샘약수터,부산광역시,동구,부산광역시 동구 수정동 37
바가지샘약수터,부산광역시,동구,부산광역시 동구 수정동 37
바가지샘약수터,부산광역시,동구,부산광역시 동구 수정동 37
수정4동체육공원,부산광역시,동구,부산광역시 동구 
수정4동체육공원,부산광역시,동구,부산광역시 동구 
일노정,부산광역시,북구,부산광역시 북구 만덕동 121
일노정,부산광역시,북구,부산광역시 북구 만덕동 121
삼밭골,부산광역시,금정구,부산광역시 금정구 장전동 30
삼밭골,부산광역시,금정구,부산광역시 금정구 장전동 30
호국사2,부산광역시,금정구,부산광역시 금정구 장전동 30
호국사2,부산광역시,금정구,부산광역시 금정구 장전동 30
호국사2,부산광역시,금정구,부산광역시 금정구 장전동 30
참샘골,부산광역시,금정구,부산광역시 금정구 구서동 178
참샘골,부산광역시,금정구,부산광역시 금정구 구서동 178
참샘골,부산광역시,금정구,부산광역시 금정구 구서동 178
정암,부산광역시,금정구,부산광역시 금정구 구서동 4-1
정암,부산광역시,금정구,부산광역시 금정구 구서동 4-1
정암,부산광역시,금정구,부산광역시 금정구 구서동 4-1
물망골2,부산광역시,금정구,부산광역시 금정구 구서동 4-8
매천2,경기도,안양시동안구,경기도 안양시동안구 23-4
청심,경기도,안양시동안구,경기도 안양시동안구 131
간촌2,경기도,안양시동안구,경기도 안양시동안구 109
관상,경기도,안양시동안구,경기도 안양시동안구 114
갈산,경기도,안양시동안구,경기도 안양시동안구 1112
예술대,경기도,안산시단원구,경기도 안산시단원구 640
구봉이,경기도,안산시단원구,경기도 안산시단원구 29
