,wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links
0,1001602,환경부,평창군(송정교),강원도 평창군 진부면,하진부리 송정교,128-33-04,37-37-27 ,511.589,8.5,9.5,12,14.9,14.9,N,[]
1,1001603,한국수자원공사,태백시(무사교),강원도 태백시 상사미동, ,128-59-40,37-18-54 ,687.824, , , , , ,N,[]
2,1001605,한국수력원자력,송천1교,강원도 평창군,대관령면 횡계리,128-42-35,37-40-05 ,724.782, , , , , ,N,[]
3,1001607,한국수자원공사,삼척시(번천교),강원도 삼척시 하장면,번천리 천375,128-59-47,37-21-52 ,718.848, , , , , ,N,[]
4,1001610,한국수자원공사,삼척시(광동댐),강원도 삼척시,하장면 숙암리 산104,128-56-50,37-20-37 , , , , , , ,N,[]
5,1001613,한국수자원공사,삼척시(광동교),강원도 삼척시 하장면,광동리 천261,128-56-56,37-20-91 , , , , , , ,N,[]
6,1001615,한국수자원공사,삼척시(갈밭교),강원도 삼척시 하장면,갈전리 천679-1000,128-54-50,37-22-18 , , , , , , ,N,[]
7,1001620,환경부,정선군(송계교),강원도 정선군,임계면 봉산리 송계교,128-50-57,37-29-39 ,491.02,1.5,2.5,3,3.6,3.64,N,[]
8,1001622,환경부,정선군(혈천교),강원도 정선군,임계면 낙천리 혈천교,128-50-49,37-27-53 ,479.382,3,4,5,6.6,6.64,N,[]
9,1001625,환경부,정선군(송천교),강원도 정선군,여량면 유천리 송천교,128-43-07,37-29-08 ,374.685,3.5,4.5,6,7.3,7.32,N,[]
10,1001626,환경부,정선군(제1여량교),강원도 정선군 여량면,여량리 제1여량교,128-43-45,37-28-24 ,369.492,4,5,6,7.8,7.78,N,[]
11,1001629,환경부,정선군(남평대교),강원도 정선군 북평면,남평리 남평대교,128-39-11,37-26-20 ,332.062,4.5,5.5,6.5,7.1,7.14,N,[]
12,1001630,환경부,정선군(나전교),강원도 정선군,북평면 북평리 나전교,128-38-59,37-26-19 ,333.208,3,4,4.5,5.4,5.43,N,[]
13,1001640,환경부,정선3,강원도 정선군 정선읍,덕송리 ,128-40-00,37-24-00 , , , , , , ,N,[]
14,1001645,환경부,정선군(와평교),강원도 정선군 정선읍,신월리 와평교,128-41-03,37-21-58 ,313.547,3.5,4.5,5.5,7,7.02,N,[]
15,1001647,환경부,정선1,강원도 정선군 정선읍,봉양리 ,128-41-00,37-22-00 , , , , , , ,N,[]
16,1001649,환경부,정선군(애산교),강원도 정선군,정선읍 애산리 애산교,128-40-15,37-22-24 ,300.915,3,4,5,6,6.03,N,[]
17,1001655,환경부,정선군(정선제1교),강원도 정선군,정선읍 봉양리 정선제1교,128-39-26,37-22-42 ,296.789,3.5,4.5,6,7.8,7.75,Y,[]
18,1001658,환경부,정선군(광하교),강원도 정선군,정선읍 광하리 광하교,128-37-08,37-22-11 ,273.539,5.5,6.5,8.5,10.6,10.57,N,[]
19,1001660,환경부,정선군(낙동교),강원도 정선군,남면 낙동리 낙동교,128-41-37,37-19-08 ,324.016,2,3,3.5,3.6,3.63,N,[]
20,1001670,환경부,영월군(거운교),강원도 영월군,영월읍 거운리 거운교,128-30-44,37-14-05 ,196.936,2,3,4,4.5,4.49,N,[]
21,1001680,한국수자원공사,영월2,강원도 영월군 영월읍,삼옥2,128-30-39,37-13-00 ,194.346, , , , , ,N,[]
22,1001683,한국수자원공사,영월군(삼옥교),강원도  영월군,영월읍 삼옥리 삼옥교,128-30-37,37-12-26 ,189.914, , , , , ,N,[]
23,1001690,환경부,영월군(영월대교),강원도 영월군,영월읍 덕포리 영월대교,128-28-31,37-10-55 ,183.205,4.6,6,8,10.5,10.48,Y,[]
